Countries	PIB	1/Desemprego	Income Tax Rate (%)	1/Infl	Inc. PIB per Capita (%)	Reservas Totais	R (% do PIB)/D (% do PIB)	Pop. Act. (%) (15 - 65)	Despesas do Governo em Edu. (% do PIB)	Taxa de alfab.	Valor agregado	P&D (% do PIB)	Export de Alta Tecno (US$)	Import. Bens e Serv (% do PIB)	GINI	1/Pop. favelas	ECI_2019	Class	Overall score
Poland	671.1724	0.174623686	38.4	0.79151496	3.151640697	1.25433E+11	0.99035807	67.44740438	4.602553368		34.41154426	1.069346667	19455769388	50.15179265	31.875	100.0000022	1.079311	1	68.76
Portugal	341.4564	0.196386489	28.8	3.265839321	0.646957633	26093897642	0.928493381	64.57799957	4.845385075	99.54951859	26.22915434	1.315853333	3043410532	41.1924143	34.98888889	0.277777785	0.631853	2	66.8
Qatar	227.0156	0.275072894	8	1.361655773	-2.311627771	31588866601		85.05822885	2.990026633	94.01660665	58.00928047	0.50901	124312033.4	39.01864839			-0.420442	3	71.44
Romania	1227.4996	0.201930455	11.8	0.37744395	3.942903053	44141786123	0.907787153	66.16685911	3.140010039	99.21244049	46.26748519	0.494773333	6285829983	43.76303498	35.8	0.075471698	1.199197	1	68.86
Russian Federation	3689.9488	0.190454424	10.9	0.296366546	0.768482009	4.86075E+11	0.862502258	67.44376089	4.376183271	99.69844818	26.34612111	1.064933333	9800117408	20.74096247	36.26		0.120892	2	
Saudi Arabia	1444.6298	0.164209005	10	0.519804553	-1.929120237	5.10801E+11	0.942191391	71.61438014		99.34068807	36.70215888	0.86328	284702511.4	27.71349682		0.061728392	0.622651	2	60.84
Senegal	66.3326	0.114202184	34	0.627431296	2.301102537		1.068802066	53.89321808	4.970870018	64.06730906	21.64679826	0.5772	17391868	36.23539301	39.2	0.033898305	-0.800691	3	57.6
Serbia	204.3976	0.092919532	13.4	0.694058856	3.241056249	13422208475	1.071931207	66.02728928	3.636600018	99.6759847	25.11964481	0.87758	420467050.3	57.38514918	38.1125	0.277777785	0.747382	2	64.96
Singapore	483.968	0.217211868	22.6	3.144654088	0.906808697	2.96817E+11	1.35026186	76.2061769	2.685362005	99.89786869	83.67705353	2.00047	1.49413E+11	144.6905755			1.997381	1	88.34
Slovak Republic	163.2884	0.139738968	30	0.607090821	1.259493247	5648509915	0.965454124	68.94878866	3.942513386		49.26656582	0.83832	8232685846	90.94624487	25.54444444		1.447869	1	66.62
Slovenia	214.3042	0.098303285	49	0.58404392	1.914716782	978295594.1	1.003452668	65.40399881	4.836496512	99.80000305	37.46319518	1.94273	2078408831	72.7098333	25.08888889	0.270270267	1.636716	1	67.38
South Africa	968.0184	0.03934932	45	0.24559163	-1.954111477	51921889257	0.861731907	65.64066865	6.311216068	98.20718511	24.42803382	0.825485	2070939304	26.21538422	63	0.038535646	0.03067	2	59.2
Spain	1523.511	0.072762199	41.2	0.598659004	-0.475933352	71818488914	0.864781326	65.96551985	4.204526742	99.67237759	40.45584214	1.214706667	15354512665	31.01073039	35.45555556	0.150375938	0.806702	2	67.16
Sri Lanka	234.0232	0.111554852	24.6	0.21590811	1.099898223	6840074401	0.808365113	65.34457795	2.794613282	98.82383537	8.26794171	0.12806	80165791.5	28.03584727	39		-0.245285	3	56.12
Sweden	542.1124	0.142073708	57	0.673219335	0.014887168	59177848540	1.049399856	62.36622597	7.609429995		52.8578099	3.307643333	17622221208	41.57572125	28.81111111	999.9999525	1.748605	1	75.8
Switzerland	554.555	0.209881207	28.6	7.849293564	0.229189136	8.43059E+11	1.046729274	66.45323225	4.912989934		65.09026287	3.36798	34920282975	53.85938415	32.425		2.131523	1	82.34
Tajikistan	31.5038	0.098972664	13	0.149463426	4.156520087	1171773640		60.21268025	5.718227506	99.90000153	2.718588311	0.106406667	16532463.6	39.90389828	34	0.038461538	-0.736788	3	54.2
Tanzania	172.522	0.459601066	30	0.244762091	2.296946585	5096067784	0.913226061	53.3333423	3.773648071	85.84757233	6.45595911	0.51456	73732275.67	17.26652925	39.15	0.024449878	-1.0031	3	60.52
Thailand	1285.3214	1.177578898	35	2.760905577	1.274699806	2.12482E+11	1.055268654	70.96591893	3.254750073	98.19922638	41.10507157	0.88998	42738433745	52.08382873	36.73	0.041407867	1.146	1	67.54
Togo	14.5408	0.305922663	45	1.45137881	1.888620567		1.140820716	55.82963243	4.115085006	84.02248637		0.24489	988402.2	33.60295736	43.83333333	0.018639329	-0.954406	3	53.38
Trinidad and Tobago	42.2952	0.239314603	25	0.625938908	-3.930272617	7858495480	0.892056384	68.87111071	3.595167518		39.59849921	0.08898	12335514.4			0.185185182	0.129528	2	58.16
Tunisia	136.7618	0.063795039	35	0.173949346	-1.483607071	7134609282	0.915534821	67.50783323	7.32434988	96.79284668	27.57021623	0.60248	847825866.8	53.77920281	32.8	0.123456792	0.356219	2	56.18
Turkey	2286.3178	0.083404227	37	0.079791903	1.830835941	1.00919E+11	0.918386502	66.85888048	4.29460001	99.38563251	33.97829665	0.95221	3935821858	29.77183773	41.28888889	0.119760474	0.610807	2	63.06
Uganda	103.434	0.484449181	38	0.245700246	1.027902362	3392408814	1.04127283	51.16977307	2.440946054	86.52759552	11.06715693	0.14381	12746435.2	20.86947269	42.16666667	0.020876827	-0.88649	3	58.8
Ukraine	417.0512	0.108332972	20	0.100228521	2.025003841	21924125726	0.956563061	67.81112028	5.295292497	99.96975708	28.55951769	0.467623333	1178281109	51.09816288	25.27	0.052631579	0.296661	2	53.88
United Arab Emirates	698.9492	0.324865181	0	1.755617978	-0.548339059	99066549416	0.930152323	84.29044745	3.102699995	98.16317749	36.88233507	1.12101	691031984.6	72.17132902	29.25		-0.435528	3	75.7
United Kingdom	2996.8614	0.233765019	45	0.590876861	-0.967169597	1.62414E+11	0.948520662	63.94336318	5.367340088		47.91719165	1.681063333	71622856176	30.57714309	33.68571429		1.551274	1	77.46
United States	20349.562	0.198286802	37.52	0.563697858	0.497680986	4.90441E+11	0.738872597	65.47735887			47.78759766	2.803896667	1.55547E+11	14.50656146	41.15555556		1.56816	1	75.2
Uruguay	79.5808	0.11007397	32.4	0.121701879	-0.699370958	15148385842	0.956808894	64.54902677	4.553204894	98.94441393	18.48275265	0.43701	126407419	21.31147418	40.16		0.013474	2	69.24
Uzbekistan	257.4998	0.150761345	22	0.076024814	2.764445124	29125378993	1.274234527	66.91992267	5.792668056	99.99994151	20.85022382	0.15575	28543238.5	34.12294477		0.019157088	-0.483342	3	55.2
Vietnam	860.9154	0.47856049	35	0.317924588	4.968578316	62844786554		69.54691142	4.164942503	98.62545776	39.7457418	0.52674	80780948088	99.94739983	35.35	0.070921986	0.051981	2	57.9
Zambia	69.7168	0.10845987	36	0.086665627	-0.950573827	1731221099	0.866425823	52.9663481	4.170619965	92.09156799	9.725474449		70340734.2	35.76960443	57.1	0.016963529	-0.716335	3	52.1
Zimbabwe	36.3746	0.19462826	51.5	0.006076493	-1.866700363	194282223	0.669875802	54.7148942	4.81365339	90.67941284	22.5705751		14134574.6	34.7748286	45.93333333	0.03236246	-0.913127	3	40.02
