id	year	y	alav	roa	folga	bnp	finep	exp	ener	bndesdummy	roe	logporte	ti	LL	lucrativ	
CELP5 BZ Equity	2015	1	0.245557	0.075876625	0.20789012	1.45853E-10	0	1	1	1	0.473914697	9.600665624	0	520.226	0.130474737	
CEPE5 BZ Equity	2006							0								
CEPE5 BZ Equity	2007		0.332311	0.093956124	0.785229672	0	0	0		1	0.193050162	9.305849018		311.526	0.154044175	
CEPE5 BZ Equity	2008	2	0.330123	0.1325668	0.635153334	0.043684703	0	0	1	1	0.258424002	9.29846138	0	466.313	0.23453958	
CEPE5 BZ Equity	2009	2	0.32276	0.165994148	0.638931555	0.084704247	1	0	1	1	0.356437013	9.345280391	0	586.949	0.26504522	
CEPE5 BZ Equity	2010	2	0.317297	0.12181109	0.440136929	0	0	0	1	0	0.417509464	9.464614423	0	448.291	0.153796197	
CEPE5 BZ Equity	2011	2	0.352454	0.072426525	0.423197209	0.110005949	1	0	1	1	0.288964406	9.456376207	0	283.416	0.099094182	
CEPE5 BZ Equity	2012	2	0.324161	-0.00774962	0.086365538	0.14143156	0	0	1	1	0.17633115	9.464509369	0	-29.261	-0.010041065	
CEPE5 BZ Equity	2013	3	0.320683	0.028159604	0.100588762	0	0	0	1	0	-0.021116053	9.549721707	0	106.763	0.030109189	
CEPE5 BZ Equity	2014	2	0.322873	0.030411518	0.010456112	2.34023E-10	0	0	1	1	0.068941981	9.508903119	0	129.951	0.040260254	
CEPE5 BZ Equity	2015	2	0.354016	0.014377114	0.055868865	2.02218E-10	0	0	1	1	0.081812207	9.59970528	0	71.097	0.017870882	
CESP6 BZ Equity	2006							1								
CESP6 BZ Equity	2007		0.186485	0.009089619	-0.21951812	0	0	1		0	-0.011665643	9.313938262		178.591	0.08668048	
CESP6 BZ Equity	2008	2	0.223542	-0.137835635	-1.260955346	0	0	1	1	0	0.01729686	9.338796226	0	-2351.639	-1.077889963	
CESP6 BZ Equity	2009	3	0.151875	0.024215367	-0.041911078	0	0	1	1	0	-0.29750519	9.393655562	0	478.536	0.193312106	
CESP6 BZ Equity	2010	3	0.146687	0.004927027	-0.20245066	0	0	1	1	0	0.045054164	9.423705655	0	93.042	0.035073038	
CESP6 BZ Equity	2011	2	0.153137	0.006276351	-0.107479434	0	0	1	1	0	0.008882333	9.46319502	0	108.581	0.037373074	
CESP6 BZ Equity	2012	2	0.146111	0.029858012	0.089429183	0	0	1	1	0	0.010731334	9.470928424	0	504.298	0.170513521	
CESP6 BZ Equity	2013	2	0.116165	-0.012873008	0.102445647	0	0	1	1	0	0.051042633	9.525563706	0	-195.346	-0.058242608	
CESP6 BZ Equity	2014	3	0.119491	0.038136121	0.556657456	6.80833E-11	0	1	1	1	-0.020965752	9.591521156	0	560.139	0.143474479	
CESP6 BZ Equity	2015	3	0.07364	-0.00511873	0.738956647	8.34254E-11	0	1	1	1	0.064912968	9.672028643	0	-61.357	-0.013056762	
CIEL3 BZ Equity	2006							0								
CIEL3 BZ Equity	2007					0	0	1		1						
CIEL3 BZ Equity	2008	1		0.529934563	2.996179917	0	0	1	0	0			1	1342.072		
CIEL3 BZ Equity	2009	3		0.516807252	2.291605436	0	0	0	0	0	1.91165821	9.458708237	1	1533.794	0.533407107	
CIEL3 BZ Equity	2010	3		0.485053585	2.231055324	0	0	1	0	0	1.782592172	9.537179267	1	1829.334	0.531023498	
CIEL3 BZ Equity	2011	3	0.029715	0.356614125	1.877040864	0	0	1	0	0	1.53178352	9.601244272	1	1810.327	0.453432616	
CIEL3 BZ Equity	2012	3	0.210834	0.231978573	1.612430135	0	0	1	0	0	1.270793731	9.624150653	1	2326.167	0.552700984	
CIEL3 BZ Equity	2013	3	0.186955	0.200862817	1.551969372	0.000227929	0	1	0	1	0.963950188	9.731206031	1	2673.601	0.496467203	
CIEL3 BZ Equity	2014	2	0.392927	0.172371691	1.582804586	0	1	1	0	0	0.8024304	9.82828859	1	3219.847	0.478130717	
CIEL3 BZ Equity	2015	2	0.443645	0.117134542	0.992494839	0	0	0	0	0	0.744576589	9.887930982	1	3511.436	0.454520814	
ciqu4 BZ Equity	2006							1								
ciqu4 BZ Equity	2007		0.2772	0.008941845	0.285252791	0	0	1		1	0.043129414	8.557766979		2.869	0.007942616	
ciqu4 BZ Equity	2008		0.431888	0.009253991	0.1710417	0	0	1	0	0	0.014610249	8.595563455	0	4.164	0.010566892	
ciqu4 BZ Equity	2009	4	0.328942	0.022040343	0.083298832	0	0	1	0	0	0.022107778	8.67819413	0	8.892	0.018655433	
ciqu4 BZ Equity	2010	4	0.473057	0.017483239	0.072038815	0	0	1	0	0	0.04030076	8.633401791	0	9.148	0.021277684	
ciqu4 BZ Equity	2011	4	0.512884	-0.018734862	0.049352196	0	0	1	0	0	0.040272061	8.63610057	0	-9.978	-0.023064441	
