date,val,type
2016-1,2004.8,Nuclear
2016-1,3.2,Solar
2016-1,11625.5,Termica
2016-2,2764.7,Eolica
2016-2,53235.9,Hidreletrica
2016-2,1993,Nuclear
2016-2,3.8,Solar
2016-2,10249.5,Termica
2016-3,2841.6,Eolica
2016-3,53189.6,Hidreletrica
2016-3,1997.8,Nuclear
2016-3,3.9,Solar
2016-3,9171.5,Termica
2016-4,3382.5,Eolica
2016-4,51031.7,Hidreletrica
2016-4,1983.6,Nuclear
2016-4,3.4,Solar
2016-4,11745.7,Termica
2016-5,3264.6,Eolica
2016-5,46884.9,Hidreletrica
2016-5,2010.8,Nuclear
2016-5,2.9,Solar
2016-5,10619.4,Termica
2016-6,3759.4,Eolica
2016-6,45430.6,Hidreletrica
2016-6,1735.9,Nuclear
2016-6,2.9,Solar
2016-6,11325.8,Termica
2016-7,4500.7,Eolica
2016-7,44556.3,Hidreletrica
2016-7,1537.7,Nuclear
2016-7,3.2,Solar
2016-7,11353.6,Termica
2016-8,4586.4,Eolica
2016-8,44055.6,Hidreletrica
2016-8,1991.6,Nuclear
2016-8,3.6,Solar
2016-8,12587.4,Termica
2016-9,4970.3,Eolica
2016-9,43190.1,Hidreletrica
2016-9,2019.9,Nuclear
2016-9,4.1,Solar
2016-9,13458.5,Termica
2016-10,4963.5,Eolica
2016-10,43724.7,Hidreletrica
2016-10,2014,Nuclear
2016-10,3.9,Solar
2016-10,13425.4,Termica
2016-11,4682.1,Eolica
2016-11,45429,Hidreletrica
2016-11,1200.8,Nuclear
2016-11,3.7,Solar
2016-11,13594.4,Termica
2016-12,4112.4,Eolica
2016-12,50169.3,Hidreletrica
2016-12,1185.6,Nuclear
2016-12,3.3,Solar
2016-12,9610.8,Termica
2017-1,3922.4,Eolica
2017-1,54428.8,Hidreletrica
2017-1,1937.1,Nuclear
2017-1,3.6,Solar
2017-1,7980.4,Termica
2017-2,3271.7,Eolica
2017-2,57218.2,Hidreletrica
2017-2,1784.1,Nuclear
2017-2,3.4,Solar
2017-2,7633.4,Termica
2017-3,2780.6,Eolica
2017-3,54771.6,Hidreletrica
2017-3,1776.4,Nuclear
2017-3,2.8,Solar
2017-3,9664.3,Termica
2017-4,3598,Eolica
2017-4,47145.2,Hidreletrica
2017-4,1999.5,Nuclear
2017-4,2.8,Solar
2017-4,11838.1,Termica
2017-5,3724.1,Eolica
2017-5,45605.8,Hidreletrica
2017-5,1905.8,Nuclear
2017-5,8.7,Solar
2017-5,12632.2,Termica
2017-6,4661,Eolica
2017-6,45178,Hidreletrica
2017-6,1749,Nuclear
2017-6,35.7,Solar
2017-6,11387.5,Termica
2017-7,5495.9,Eolica
2017-7,39531.9,Hidreletrica
2017-7,1913.8,Nuclear
2017-7,53.7,Solar
2017-7,14144.1,Termica
2017-8,5932.7,Eolica
2017-8,38111.9,Hidreletrica
2017-8,1719,Nuclear
2017-8,71,Solar
2017-8,17148.7,Termica
2017-9,7160.7,Eolica
2017-9,38985.1,Hidreletrica
2017-9,1361.1,Nuclear
2017-9,106.3,Solar
2017-9,17336.1,Termica
2017-10,6716.1,Eolica
2017-10,39873,Hidreletrica
2017-10,1596.7,Nuclear
2017-10,204.1,Solar
2017-10,17717,Termica
2017-11,5555.5,Eolica
2017-11,42126,Hidreletrica
2017-11,2004.6,Nuclear
2017-11,185.8,Solar
2017-11,15846.6,Termica
2017-12,5078.3,Eolica
2017-12,47333.8,Hidreletrica
2017-12,1809.8,Nuclear
2017-12,209.3,Solar
2017-12,12132.6,Termica
2018-1,4664.8,Eolica
2018-1,52916.2,Hidreletrica
2018-1,1881.6,Nuclear
2018-1,236.1,Solar
2018-1,8860.8,Termica
2018-2,3185.2,Eolica
2018-2,55293,Hidreletrica
2018-2,1226.8,Nuclear
2018-2,235,Solar
2018-2,8526.7,Termica
2018-3,3094.5,Eolica
2018-3,57003.2,Hidreletrica
2018-3,1150.2,Nuclear
2018-3,266.8,Solar
2018-3,9147.3,Termica
2018-4,3723.7,Eolica
2018-4,52192.6,Hidreletrica
2018-4,1977.6,Nuclear
2018-4,275.4,Solar
2018-4,9306.5,Termica
2018-5,4988.4,Eolica
2018-5,46011,Hidreletrica
2018-5,2009.2,Nuclear
2018-5,310,Solar
2018-5,10469.7,Termica
2018-6,6044.4,Eolica
2018-6,41329.7,Hidreletrica
2018-6,2008.9,Nuclear
2018-6,320.1,Solar
2018-6,13816.2,Termica
2018-7,6806.4,Eolica
2018-7,39192.5,Hidreletrica
2018-7,2007.3,Nuclear
2018-7,353.3,Solar
2018-7,15105,Termica
2018-8,7245,Eolica
2018-8,39411.3,Hidreletrica
2018-8,2021.5,Nuclear
2018-8,360.7,Solar
2018-8,15295.8,Termica
2018-9,7698.2,Eolica
2018-9,38805.2,Hidreletrica
2018-9,2012.1,Nuclear
2018-9,410.6,Solar
2018-9,15828.8,Termica
2018-10,6433.5,Eolica
2018-10,45940.7,Hidreletrica
2018-10,1891.4,Nuclear
2018-10,389.7,Solar
